stage_number,stage_date,start_location,finish_location,distance_km,stage_type,elevation_gain_m,neutralised_km,status
1,2026-03-09,Lido di Camaiore,Lido di Camaiore,11.50,Individual time trial,,,PUBLISHED
2,2026-03-10,Camaiore,San Gimignano,206.00,Hilly stage,,,PUBLISHED
3,2026-03-11,Cortona,Magliano de' Marsi,221.00,Flat stage,,,PUBLISHED
4,2026-03-12,Tagliacozzo,Martinsicuro,213.00,Intermediate stage,,,PUBLISHED
5,2026-03-13,Marotta-Mondolfo,Mombaroccio,184.00,Mountain stage,,,PUBLISHED
6,2026-03-14,San Severino Marche,Camerino,188.00,Mountain stage,,,PUBLISHED
7,2026-03-15,Civitanova Marche,San Benedetto del Tronto,142.00,Flat stage,,,PUBLISHED
