rider,bib,team,outcome,published_code,exit_stage_number,last_classified_stage
A. KIRSCH,166,,IN_RACE,,,20
H. PAGE,167,,IN_RACE,,,20
B. THOMAS,168,,IN_RACE,,,20
T. PIDCOCK,171,,IN_RACE,,,20
X. AZPARREN IRURZUN,172,,IN_RACE,,,20
C. HARPER,173,,DNS,DNS-11,11,10
Q. HERMANS,174,,IN_RACE,,,20
D. HOWSON,175,,IN_RACE,,,20
X. MEURISSE,176,,IN_RACE,,,20
B. VAN MOER,177,,IN_RACE,,,20
F. WRIGHT,178,,IN_RACE,,,20
R. GREGOIRE,181,,IN_RACE,,,20
C. BERTHET,182,,DNS,DNS-2,2,1
C. BRAZ AFONSO,183,,IN_RACE,,,20
E. COSTIOU,184,,IN_RACE,,,20
L. GERMANI,185,,IN_RACE,,,20
G. MARTIN GUYONNET,186,,IN_RACE,,,20
Q. PACHER,187,,IN_RACE,,,20
C. RUSSO,188,,IN_RACE,,,20
J. ALAPHILIPPE,191,,IN_RACE,,,20
A. DE KLEIJN,192,,DNF,DNF-6,6,5
M. HALLER,193,,IN_RACE,,,20
M. HIRSCHI,194,,IN_RACE,,,20
R. PLUIMERS,195,,IN_RACE,,,20
M. STORER,196,,IN_RACE,,,20
M. TRENTIN,197,,DNS,DNS-10,10,9
Y. VOISARD,198,,IN_RACE,,,20
J. JEGAT,201,,IN_RACE,,,20
N. BREUILLARD,202,,IN_RACE,,,20
J. DELBOVE,203,,IN_RACE,,,20
A. DELETTRE,204,,IN_RACE,,,20
T. GUERNALEC,205,,IN_RACE,,,20
M. LE BERRE,206,,IN_RACE,,,20
A. TURGIS,207,,IN_RACE,,,20
M. VERCHER,208,,IN_RACE,,,20
W. BARGUIL,211,,IN_RACE,,,20
F. BIESTERBOS,212,,DNS,DNS-13,13,12
P. BITTNER,213,,IN_RACE,,,20
J. DEGENKOLB,214,,IN_RACE,,,20
R. DHONDT,215,,IN_RACE,,,20
N. MÄRKL,216,,IN_RACE,,,20
J. VAN DEN BERG,217,,IN_RACE,,,20
F. VAN DEN BROEK,218,,IN_RACE,,,20
F. GAVIRIA,221,,DNS,DNS-13,13,12
A. BALDERSTONE,222,,IN_RACE,,,20
S. BERWICK,223,,IN_RACE,,,20
A. MOLENAAR,224,,DNS,DNS-6,6,5
J. NICOLAU,225,,IN_RACE,,,20
S. OLDANI,226,,IN_RACE,,,20
J. OTRUBA,227,,IN_RACE,,,20
J. PARRA,228,,DNS,DNS-18,18,17
