stage_number,stage_date,start_location,finish_location,distance_km,stage_type,elevation_gain_m,neutralised_km,status
1,2026-02-18,Vila Real de Santo António,Tavira,183.50,Flat stage,,,PUBLISHED
2,2026-02-19,Portimão,Fóia ( Monchique ),147.20,Mountain stage,,,PUBLISHED
3,2026-02-20,Vilamoura,Vilamoura,19.50,Individual time trial,,,PUBLISHED
4,2026-02-21,Albufeira,Lagos,175.10,Hilly stage,,,PUBLISHED
5,2026-02-22,Faro,Malhão ( Loulé ),148.40,Mountain stage,,,PUBLISHED
