after_stage,rank,rider,cumulative_s,gap_s,stages_completed,status
1,85,B. HEALY,1498,191,1,DERIVED_REPRODUCIBLE
1,86,D. CARUSO,1499,192,1,DERIVED_REPRODUCIBLE
1,87,A. CHARMIG,1499,192,1,DERIVED_REPRODUCIBLE
1,88,V. VAN MECHELEN,1500,193,1,DERIVED_REPRODUCIBLE
1,89,T. VAN ASBROECK,1501,194,1,DERIVED_REPRODUCIBLE
1,90,M. FRIGO,1501,194,1,DERIVED_REPRODUCIBLE
1,91,K. NEILANDS,1501,194,1,DERIVED_REPRODUCIBLE
1,92,L. ASKEY,1501,194,1,DERIVED_REPRODUCIBLE
1,93,B. THOMAS,1502,195,1,DERIVED_REPRODUCIBLE
1,94,C. RUSSO,1502,195,1,DERIVED_REPRODUCIBLE
1,95,E. COSTIOU,1502,195,1,DERIVED_REPRODUCIBLE
1,96,L. GERMANI,1502,195,1,DERIVED_REPRODUCIBLE
1,97,N. MÄRKL,1503,196,1,DERIVED_REPRODUCIBLE
1,98,Q. PACHER,1505,198,1,DERIVED_REPRODUCIBLE
1,99,T. BENOOT,1506,199,1,DERIVED_REPRODUCIBLE
1,100,D. HOWSON,1508,201,1,DERIVED_REPRODUCIBLE
1,101,F. WRIGHT,1509,202,1,DERIVED_REPRODUCIBLE
1,102,E. RUBIO,1512,205,1,DERIVED_REPRODUCIBLE
1,103,M. STORER,1514,207,1,DERIVED_REPRODUCIBLE
1,104,B. ARMIRAIL,1515,208,1,DERIVED_REPRODUCIBLE
1,105,L. VERVAEKE,1515,208,1,DERIVED_REPRODUCIBLE
1,106,V. CAMPENAERTS,1515,208,1,DERIVED_REPRODUCIBLE
1,107,F. VERMEERSCH,1515,208,1,DERIVED_REPRODUCIBLE
1,108,H. ARTZ,1516,209,1,DERIVED_REPRODUCIBLE
1,109,X. AZPARREN IRURZUN,1517,210,1,DERIVED_REPRODUCIBLE
1,110,X. MEURISSE,1517,210,1,DERIVED_REPRODUCIBLE
1,111,G. MARTIN GUYONNET,1521,214,1,DERIVED_REPRODUCIBLE
1,112,C. BERTHET,1521,214,1,DERIVED_REPRODUCIBLE
1,113,J. STEWART,1523,216,1,DERIVED_REPRODUCIBLE
1,114,S. BERWICK,1525,218,1,DERIVED_REPRODUCIBLE
1,115,S. OLDANI,1525,218,1,DERIVED_REPRODUCIBLE
1,116,A. DELETTRE,1528,221,1,DERIVED_REPRODUCIBLE
1,117,M. WALKER,1530,223,1,DERIVED_REPRODUCIBLE
1,118,A. DE KLEIJN,1532,225,1,DERIVED_REPRODUCIBLE
1,119,R. PLUIMERS,1532,225,1,DERIVED_REPRODUCIBLE
1,120,A. JOHANNESSEN,1537,230,1,DERIVED_REPRODUCIBLE
1,121,A. ARANBURU,1541,234,1,DERIVED_REPRODUCIBLE
1,122,M. LOUVEL,1542,235,1,DERIVED_REPRODUCIBLE
1,123,J. ABRAHAMSEN,1542,235,1,DERIVED_REPRODUCIBLE
1,124,M. CORT NIELSEN,1542,235,1,DERIVED_REPRODUCIBLE
1,125,M. MOHORIC,1543,236,1,DERIVED_REPRODUCIBLE
1,126,E. PLANCKAERT,1545,238,1,DERIVED_REPRODUCIBLE
1,127,A. SKAARSETH,1546,239,1,DERIVED_REPRODUCIBLE
1,128,N. PRODHOMME,1548,241,1,DERIVED_REPRODUCIBLE
1,129,A. TURGIS,1550,243,1,DERIVED_REPRODUCIBLE
1,130,F. GAVIRIA,1552,245,1,DERIVED_REPRODUCIBLE
1,131,M. CATTANEO,1553,246,1,DERIVED_REPRODUCIBLE
1,132,G. ZIMMERMANN,1553,246,1,DERIVED_REPRODUCIBLE
1,133,J. TRATNIK,1553,246,1,DERIVED_REPRODUCIBLE
1,134,B. VEISTROFFER,1555,248,1,DERIVED_REPRODUCIBLE
1,135,L. SLOCK,1555,248,1,DERIVED_REPRODUCIBLE
1,136,L. CRAPS,1555,248,1,DERIVED_REPRODUCIBLE
1,137,A. DE LIE,1556,249,1,DERIVED_REPRODUCIBLE
1,138,H. PAGE,1557,250,1,DERIVED_REPRODUCIBLE
1,139,J. BIERMANS,1557,250,1,DERIVED_REPRODUCIBLE
1,140,J. OTRUBA,1559,252,1,DERIVED_REPRODUCIBLE
1,141,O. KOOIJ,1559,252,1,DERIVED_REPRODUCIBLE
1,142,D. HOOLE,1559,252,1,DERIVED_REPRODUCIBLE
1,143,S. WAERENSKJOLD,1562,255,1,DERIVED_REPRODUCIBLE
1,144,R. STANNARD,1562,255,1,DERIVED_REPRODUCIBLE
1,145,T. SKUJINS,1563,256,1,DERIVED_REPRODUCIBLE
1,146,C. HARPER,1568,261,1,DERIVED_REPRODUCIBLE
1,147,C. VERONA,1569,262,1,DERIVED_REPRODUCIBLE
1,148,M. PEDERSEN,1569,262,1,DERIVED_REPRODUCIBLE
1,149,Q. SIMMONS,1570,263,1,DERIVED_REPRODUCIBLE
