stage_number,rank,rider,bib,team,finish_time_s,gap_s,bonus_s,penalty_s,status
5,158,S. VELASCO,67,XDS ASTANA TEAM,12747,200,0,0,OBSERVED_FACT
5,159,J. TRATNIK,26,RED BULL - BORA - HANSGROHE,12747,200,0,0,OBSERVED_FACT
5,160,L. PLAPP,117,TEAM JAYCO ALULA,12747,200,0,0,OBSERVED_FACT
5,161,C. HARPER,173,PINARELLO-Q36.5 PRO CYCLING TEAM,12747,200,0,0,OBSERVED_FACT
5,162,M. HEßMANN,145,MOVISTAR TEAM,12747,200,0,0,OBSERVED_FACT
5,163,M. STORER,196,TUDOR PRO CYCLING TEAM,12747,200,0,0,OBSERVED_FACT
5,164,E. VERSTRYNGE,108,ALPECIN-PREMIER TECH,12747,200,0,0,OBSERVED_FACT
5,165,N. BREUILLARD,202,TOTALENERGIES,12747,200,0,0,OBSERVED_FACT
5,166,G. STEINHAUSER,46,EF EDUCATION - EASYPOST,12747,200,0,0,OBSERVED_FACT
5,167,J. TARLING,87,NETCOMPANY INEOS CYCLING TEAM,12756,209,0,0,OBSERVED_FACT
5,168,S. BERWICK,223,CAJA RURAL-SEGUROS RGA,12817,270,0,0,OBSERVED_FACT
5,169,J. NICOLAU,225,CAJA RURAL-SEGUROS RGA,12817,270,0,0,OBSERVED_FACT
5,170,V. CAMPENAERTS,14,TEAM VISMA | LEASE A BIKE,12837,290,0,0,OBSERVED_FACT
5,171,S. OLDANI,226,CAJA RURAL-SEGUROS RGA,12844,297,0,0,OBSERVED_FACT
5,172,J. OTRUBA,227,CAJA RURAL-SEGUROS RGA,12844,297,0,0,OBSERVED_FACT
5,173,L. VERVAEKE,98,SOUDAL QUICK-STEP,12877,330,0,0,OBSERVED_FACT
5,174,J. STUYVEN,94,SOUDAL QUICK-STEP,12877,330,0,0,OBSERVED_FACT
5,175,D. VAN BAARLE,95,SOUDAL QUICK-STEP,12877,330,0,0,OBSERVED_FACT
5,176,B. VAN LERBERGHE,96,SOUDAL QUICK-STEP,12877,330,0,0,OBSERVED_FACT
5,177,A. PARET PEINTRE,56,DECATHLON CMA CGM TEAM,12885,338,0,0,OBSERVED_FACT
5,178,M. LOUVEL,135,NSN CYCLING TEAM,12945,398,0,0,OBSERVED_FACT
5,179,M. MATTHEWS,115,TEAM JAYCO ALULA,12959,412,0,0,OBSERVED_FACT
5,180,A. MOLENAAR,224,CAJA RURAL-SEGUROS RGA,12967,420,0,0,OBSERVED_FACT
5,181,A. DE KLEIJN,192,TUDOR PRO CYCLING TEAM,13208,661,0,0,OBSERVED_FACT
6,1,T. POGACAR,1,UAE TEAM EMIRATES XRG,16327,0,10,0,OBSERVED_FACT
6,2,J. VINGEGAARD,11,TEAM VISMA | LEASE A BIKE,16485,158,6,0,OBSERVED_FACT
6,3,I. DEL TORO,2,UAE TEAM EMIRATES XRG,16504,177,4,0,OBSERVED_FACT
6,4,R. EVENEPOEL,21,RED BULL - BORA - HANSGROHE,16504,177,0,0,OBSERVED_FACT
6,5,P. SEIXAS,51,DECATHLON CMA CGM TEAM,16504,177,0,0,OBSERVED_FACT
6,6,F. LIPOWITZ,25,RED BULL - BORA - HANSGROHE,16504,177,0,0,OBSERVED_FACT
6,7,J. AYUSO,31,LIDL-TREK,16504,177,0,0,OBSERVED_FACT
6,8,M. SKJELMOSE,35,LIDL-TREK,16504,177,0,0,OBSERVED_FACT
6,9,L. MARTINEZ,71,BAHRAIN VICTORIOUS,16509,182,0,0,OBSERVED_FACT
6,10,S. KUSS,17,TEAM VISMA | LEASE A BIKE,16513,186,0,0,OBSERVED_FACT
6,11,E. BERNAL,81,NETCOMPANY INEOS CYCLING TEAM,16614,287,0,0,OBSERVED_FACT
6,12,J. JEGAT,201,TOTALENERGIES,16825,498,0,0,OBSERVED_FACT
6,13,H. TEJADA,65,XDS ASTANA TEAM,16825,498,0,0,OBSERVED_FACT
6,14,I. VAN WILDER,97,SOUDAL QUICK-STEP,16825,498,0,0,OBSERVED_FACT
6,15,T. PIDCOCK,171,PINARELLO-Q36.5 PRO CYCLING TEAM,16825,498,0,0,OBSERVED_FACT
6,16,Y. VOISARD,198,TUDOR PRO CYCLING TEAM,16828,501,0,0,OBSERVED_FACT
6,17,A. YATES,8,UAE TEAM EMIRATES XRG,16828,501,0,0,OBSERVED_FACT
6,18,T. JOHANNESSEN,121,UNO-X MOBILITY,16828,501,0,0,OBSERVED_FACT
6,19,L. VAN EETVELT,156,LOTTO INTERMARCHE,16828,501,0,0,OBSERVED_FACT
6,20,B. MCNULTY,4,UAE TEAM EMIRATES XRG,16828,501,0,0,OBSERVED_FACT
6,21,D. PIGANZOLI,18,TEAM VISMA | LEASE A BIKE,16828,501,0,0,OBSERVED_FACT
6,22,P. CASTRILLO,142,MOVISTAR TEAM,16830,503,0,0,OBSERVED_FACT
6,23,R. CARAPAZ,41,EF EDUCATION - EASYPOST,16858,531,0,0,OBSERVED_FACT
6,24,C. HARPER,173,PINARELLO-Q36.5 PRO CYCLING TEAM,16900,573,0,0,OBSERVED_FACT
6,25,M. VACEK,37,LIDL-TREK,16990,663,0,0,OBSERVED_FACT
6,26,R. DEBRUYNE,102,ALPECIN-PREMIER TECH,16990,663,0,0,OBSERVED_FACT
6,27,C. VERONA,38,LIDL-TREK,17273,946,0,0,OBSERVED_FACT
6,28,T. BENOOT,52,DECATHLON CMA CGM TEAM,17337,1010,0,0,OBSERVED_FACT
6,29,T. ARENSMAN,82,NETCOMPANY INEOS CYCLING TEAM,17337,1010,0,0,OBSERVED_FACT
6,30,N. PRODHOMME,57,DECATHLON CMA CGM TEAM,17337,1010,0,0,OBSERVED_FACT
6,31,S. QUINN,45,EF EDUCATION - EASYPOST,17337,1010,0,0,OBSERVED_FACT
6,32,J. HINDLEY,24,RED BULL - BORA - HANSGROHE,17445,1118,0,0,OBSERVED_FACT
6,33,A. TIBERI,77,BAHRAIN VICTORIOUS,17503,1176,0,0,OBSERVED_FACT
6,34,G. MARTIN GUYONNET,186,GROUPAMA-FDJ UNITED,17584,1257,0,0,OBSERVED_FACT
6,35,S. HIGUITA,61,XDS ASTANA TEAM,17586,1259,0,0,OBSERVED_FACT
6,36,M. JORGENSON,16,TEAM VISMA | LEASE A BIKE,17586,1259,0,0,OBSERVED_FACT
6,37,B. O'CONNOR,111,TEAM JAYCO ALULA,17648,1321,0,0,OBSERVED_FACT
6,38,F. GROSSSCHARTNER,3,UAE TEAM EMIRATES XRG,17648,1321,0,0,OBSERVED_FACT
6,39,Q. HERMANS,174,PINARELLO-Q36.5 PRO CYCLING TEAM,17887,1560,0,0,OBSERVED_FACT
6,40,T. FOSS,83,NETCOMPANY INEOS CYCLING TEAM,17887,1560,0,0,OBSERVED_FACT
6,41,M. HIRSCHI,194,TUDOR PRO CYCLING TEAM,17887,1560,0,0,OBSERVED_FACT
6,42,M. RICCITELLO,58,DECATHLON CMA CGM TEAM,17887,1560,0,0,OBSERVED_FACT
6,43,J. PARRA,228,CAJA RURAL-SEGUROS RGA,17887,1560,0,0,OBSERVED_FACT
6,44,M. VALGREN,47,EF EDUCATION - EASYPOST,17887,1560,0,0,OBSERVED_FACT
6,45,M. VAN GILS,28,RED BULL - BORA - HANSGROHE,17887,1560,0,0,OBSERVED_FACT
6,46,D. CARUSO,73,BAHRAIN VICTORIOUS,18058,1731,0,0,OBSERVED_FACT
6,47,M. CATTANEO,22,RED BULL - BORA - HANSGROHE,18058,1731,0,0,OBSERVED_FACT
6,48,I. IZAGIRRE,161,COFIDIS,18058,1731,0,0,OBSERVED_FACT
6,49,T. WELLENS,7,UAE TEAM EMIRATES XRG,18058,1731,0,0,OBSERVED_FACT
6,50,A. JOHANNESSEN,125,UNO-X MOBILITY,18122,1795,0,0,OBSERVED_FACT
6,51,T. TRÆEN,127,UNO-X MOBILITY,18122,1795,0,0,OBSERVED_FACT
6,52,J. DELBOVE,203,TOTALENERGIES,18174,1847,0,0,OBSERVED_FACT
6,53,V. PARET PEINTRE,93,SOUDAL QUICK-STEP,18174,1847,0,0,OBSERVED_FACT
6,54,J. CEPEDA,143,MOVISTAR TEAM,18174,1847,0,0,OBSERVED_FACT
6,55,A. BALDERSTONE,222,CAJA RURAL-SEGUROS RGA,18174,1847,0,0,OBSERVED_FACT
6,56,E. RUBIO,148,MOVISTAR TEAM,18174,1847,0,0,OBSERVED_FACT
6,57,N. POLITT,5,UAE TEAM EMIRATES XRG,18212,1885,0,0,OBSERVED_FACT
6,58,S. BERWICK,223,CAJA RURAL-SEGUROS RGA,18212,1885,0,0,OBSERVED_FACT
6,59,D. GEE,32,LIDL-TREK,18212,1885,0,0,OBSERVED_FACT
6,60,M. STORER,196,TUDOR PRO CYCLING TEAM,18212,1885,0,0,OBSERVED_FACT
6,61,Q. SIMMONS,34,LIDL-TREK,18212,1885,0,0,OBSERVED_FACT
6,62,X. MEURISSE,176,PINARELLO-Q36.5 PRO CYCLING TEAM,18212,1885,0,0,OBSERVED_FACT
6,63,J. ROMO,147,MOVISTAR TEAM,18212,1885,0,0,OBSERVED_FACT
6,64,K. VAUQUELIN,88,NETCOMPANY INEOS CYCLING TEAM,18212,1885,0,0,OBSERVED_FACT
6,65,R. GARCIA,144,MOVISTAR TEAM,18212,1885,0,0,OBSERVED_FACT
6,66,T. SKUJINS,36,LIDL-TREK,18212,1885,0,0,OBSERVED_FACT
6,67,A. SKAARSETH,126,UNO-X MOBILITY,18212,1885,0,0,OBSERVED_FACT
6,68,A. BAUDIN,43,EF EDUCATION - EASYPOST,18212,1885,0,0,OBSERVED_FACT
6,69,V. CAMPENAERTS,14,TEAM VISMA | LEASE A BIKE,18420,2093,0,0,OBSERVED_FACT
6,70,L. CRAPS,154,LOTTO INTERMARCHE,18420,2093,0,0,OBSERVED_FACT
6,71,C. RUSSO,188,GROUPAMA-FDJ UNITED,18420,2093,0,0,OBSERVED_FACT
6,72,A. DELETTRE,204,TOTALENERGIES,18420,2093,0,0,OBSERVED_FACT
6,73,M. LE BERRE,206,TOTALENERGIES,18420,2093,0,0,OBSERVED_FACT
6,74,F. ENGELHARDT,114,TEAM JAYCO ALULA,18605,2278,0,0,OBSERVED_FACT
6,75,D. HOWSON,175,PINARELLO-Q36.5 PRO CYCLING TEAM,18605,2278,0,0,OBSERVED_FACT
6,76,K. ASGREEN,42,EF EDUCATION - EASYPOST,18632,2305,0,0,OBSERVED_FACT
6,77,A. PARET PEINTRE,56,DECATHLON CMA CGM TEAM,18632,2305,0,0,OBSERVED_FACT
6,78,J. ALAPHILIPPE,191,TUDOR PRO CYCLING TEAM,18632,2305,0,0,OBSERVED_FACT
6,79,A. KIRSCH,166,COFIDIS,18632,2305,0,0,OBSERVED_FACT
6,80,N. VINOKUROV,68,XDS ASTANA TEAM,18632,2305,0,0,OBSERVED_FACT
6,81,B. ARMIRAIL,13,TEAM VISMA | LEASE A BIKE,18632,2305,0,0,OBSERVED_FACT
6,82,N. OLIVEIRA,146,MOVISTAR TEAM,18632,2305,0,0,OBSERVED_FACT
6,83,M. VERCHER,208,TOTALENERGIES,18632,2305,0,0,OBSERVED_FACT
6,84,D. VAN BAARLE,95,SOUDAL QUICK-STEP,18632,2305,0,0,OBSERVED_FACT
6,85,L. VERVAEKE,98,SOUDAL QUICK-STEP,18632,2305,0,0,OBSERVED_FACT
6,86,B. VAN MOER,177,PINARELLO-Q36.5 PRO CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,87,J. STUYVEN,94,SOUDAL QUICK-STEP,18855,2528,0,0,OBSERVED_FACT
6,88,L. SLOCK,155,LOTTO INTERMARCHE,18855,2528,0,0,OBSERVED_FACT
6,89,H. ARTZ,152,LOTTO INTERMARCHE,18855,2528,0,0,OBSERVED_FACT
6,90,T. GUERNALEC,205,TOTALENERGIES,18855,2528,0,0,OBSERVED_FACT
6,91,W. BARGUIL,211,TEAM PICNIC POSTNL,18855,2528,0,0,OBSERVED_FACT
6,92,J. BERCKMOES,153,LOTTO INTERMARCHE,18855,2528,0,0,OBSERVED_FACT
6,93,F. WRIGHT,178,PINARELLO-Q36.5 PRO CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,94,Q. PACHER,187,GROUPAMA-FDJ UNITED,18855,2528,0,0,OBSERVED_FACT
6,95,B. VEISTROFFER,157,LOTTO INTERMARCHE,18855,2528,0,0,OBSERVED_FACT
6,96,J. ABRAHAMSEN,122,UNO-X MOBILITY,18855,2528,0,0,OBSERVED_FACT
6,97,D. GODON,85,NETCOMPANY INEOS CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,98,A. CHARMIG,123,UNO-X MOBILITY,18855,2528,0,0,OBSERVED_FACT
6,99,V. VAN MECHELEN,78,BAHRAIN VICTORIOUS,18855,2528,0,0,OBSERVED_FACT
6,100,R. STANNARD,76,BAHRAIN VICTORIOUS,18855,2528,0,0,OBSERVED_FACT
6,101,M. TRENTIN,197,TUDOR PRO CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,102,M. MOHORIC,75,BAHRAIN VICTORIOUS,18855,2528,0,0,OBSERVED_FACT
6,103,N. DENZ,23,RED BULL - BORA - HANSGROHE,18855,2528,0,0,OBSERVED_FACT
6,104,L. GERMANI,185,GROUPAMA-FDJ UNITED,18855,2528,0,0,OBSERVED_FACT
6,105,M. VAN DER POEL,101,ALPECIN-PREMIER TECH,18855,2528,0,0,OBSERVED_FACT
6,106,J. TRATNIK,26,RED BULL - BORA - HANSGROHE,18855,2528,0,0,OBSERVED_FACT
6,107,R. PLUIMERS,195,TUDOR PRO CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,108,T. VAN DIJKE,27,RED BULL - BORA - HANSGROHE,18855,2528,0,0,OBSERVED_FACT
6,109,J. RICKAERT,107,ALPECIN-PREMIER TECH,18855,2528,0,0,OBSERVED_FACT
6,110,S. WAERENSKJOLD,128,UNO-X MOBILITY,18855,2528,0,0,OBSERVED_FACT
6,111,P. HAGENES,15,TEAM VISMA | LEASE A BIKE,18855,2528,0,0,OBSERVED_FACT
6,112,P. BITTNER,213,TEAM PICNIC POSTNL,18855,2528,0,0,OBSERVED_FACT
6,113,F. VERMEERSCH,6,UAE TEAM EMIRATES XRG,18855,2528,0,0,OBSERVED_FACT
6,114,M. FRETIN,165,COFIDIS,18855,2528,0,0,OBSERVED_FACT
6,115,M. FRIGO,134,NSN CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,116,A. ARANBURU,163,COFIDIS,18855,2528,0,0,OBSERVED_FACT
6,117,F. VAN DEN BROEK,218,TEAM PICNIC POSTNL,18855,2528,0,0,OBSERVED_FACT
6,118,M. TEUNISSEN,66,XDS ASTANA TEAM,18855,2528,0,0,OBSERVED_FACT
6,119,J. BIERMANS,164,COFIDIS,18855,2528,0,0,OBSERVED_FACT
6,120,S. VELASCO,67,XDS ASTANA TEAM,18855,2528,0,0,OBSERVED_FACT
6,121,T. VAN ASBROECK,138,NSN CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,122,J. NICOLAU,225,CAJA RURAL-SEGUROS RGA,18855,2528,0,0,OBSERVED_FACT
6,123,S. OLDANI,226,CAJA RURAL-SEGUROS RGA,18855,2528,0,0,OBSERVED_FACT
6,124,X. AZPARREN IRURZUN,172,PINARELLO-Q36.5 PRO CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,125,M. MATTHEWS,115,TEAM JAYCO ALULA,18855,2528,0,0,OBSERVED_FACT
6,126,G. BENNETT,133,NSN CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,127,L. DURBRIDGE,113,TEAM JAYCO ALULA,18855,2528,0,0,OBSERVED_FACT
6,128,F. GANNA,84,NETCOMPANY INEOS CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,129,P. ACKERMANN,112,TEAM JAYCO ALULA,18855,2528,0,0,OBSERVED_FACT
6,130,K. NEILANDS,136,NSN CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,131,M. HALLER,193,TUDOR PRO CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,132,J. DEGENKOLB,214,TEAM PICNIC POSTNL,18855,2528,0,0,OBSERVED_FACT
6,133,F. BIESTERBOS,212,TEAM PICNIC POSTNL,18855,2528,0,0,OBSERVED_FACT
6,134,J. TARLING,87,NETCOMPANY INEOS CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,135,A. TURGIS,207,TOTALENERGIES,18855,2528,0,0,OBSERVED_FACT
6,136,J. STEWART,137,NSN CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,137,N. BREUILLARD,202,TOTALENERGIES,18855,2528,0,0,OBSERVED_FACT
6,138,M. CORT NIELSEN,124,UNO-X MOBILITY,18855,2528,0,0,OBSERVED_FACT
6,139,J. VAN DEN BERG,217,TEAM PICNIC POSTNL,18855,2528,0,0,OBSERVED_FACT
6,140,E. VERSTRYNGE,108,ALPECIN-PREMIER TECH,18855,2528,0,0,OBSERVED_FACT
6,141,E. AFFINI,12,TEAM VISMA | LEASE A BIKE,18855,2528,0,0,OBSERVED_FACT
6,142,G. STEINHAUSER,46,EF EDUCATION - EASYPOST,18855,2528,0,0,OBSERVED_FACT
6,143,M. WALKER,48,EF EDUCATION - EASYPOST,18855,2528,0,0,OBSERVED_FACT
6,144,B. HEALY,44,EF EDUCATION - EASYPOST,18855,2528,0,0,OBSERVED_FACT
6,145,A. GATE,63,XDS ASTANA TEAM,18855,2528,0,0,OBSERVED_FACT
6,146,M. KANTER,64,XDS ASTANA TEAM,18855,2528,0,0,OBSERVED_FACT
6,147,M. KWIATKOWSKI,86,NETCOMPANY INEOS CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,148,M. SCHMID,118,TEAM JAYCO ALULA,18855,2528,0,0,OBSERVED_FACT
6,149,L. PLAPP,117,TEAM JAYCO ALULA,18855,2528,0,0,OBSERVED_FACT
6,150,G. ZIMMERMANN,158,LOTTO INTERMARCHE,18855,2528,0,0,OBSERVED_FACT
6,151,K. GRADEK,74,BAHRAIN VICTORIOUS,18855,2528,0,0,OBSERVED_FACT
6,152,R. DHONDT,215,TEAM PICNIC POSTNL,18855,2528,0,0,OBSERVED_FACT
6,153,C. BRAZ AFONSO,183,GROUPAMA-FDJ UNITED,18855,2528,0,0,OBSERVED_FACT
6,154,M. HEßMANN,145,MOVISTAR TEAM,18855,2528,0,0,OBSERVED_FACT
6,155,M. LOUVEL,135,NSN CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,156,H. PAGE,167,COFIDIS,18855,2528,0,0,OBSERVED_FACT
6,157,R. GREGOIRE,181,GROUPAMA-FDJ UNITED,18855,2528,0,0,OBSERVED_FACT
6,158,E. COSTIOU,184,GROUPAMA-FDJ UNITED,18855,2528,0,0,OBSERVED_FACT
6,159,D. BALLERINI,62,XDS ASTANA TEAM,18855,2528,0,0,OBSERVED_FACT
6,160,B. GIRMAY,131,NSN CYCLING TEAM,18855,2528,0,0,OBSERVED_FACT
6,161,E. PLANCKAERT,106,ALPECIN-PREMIER TECH,18855,2528,0,0,OBSERVED_FACT
6,162,B. THOMAS,168,COFIDIS,18908,2581,0,0,OBSERVED_FACT
6,163,O. KOOIJ,55,DECATHLON CMA CGM TEAM,18935,2608,0,0,OBSERVED_FACT
6,164,C. BOL,53,DECATHLON CMA CGM TEAM,18935,2608,0,0,OBSERVED_FACT
6,165,D. HOOLE,54,DECATHLON CMA CGM TEAM,18935,2608,0,0,OBSERVED_FACT
6,166,P. EENKHOORN,92,SOUDAL QUICK-STEP,19051,2724,0,0,OBSERVED_FACT
6,167,M. PEDERSEN,33,LIDL-TREK,19051,2724,0,0,OBSERVED_FACT
6,168,P. BAUHAUS,72,BAHRAIN VICTORIOUS,19051,2724,0,0,OBSERVED_FACT
6,169,N. MÄRKL,216,TEAM PICNIC POSTNL,19051,2724,0,0,OBSERVED_FACT
6,170,J. OTRUBA,227,CAJA RURAL-SEGUROS RGA,19051,2724,0,0,OBSERVED_FACT
6,171,F. GAVIRIA,221,CAJA RURAL-SEGUROS RGA,19051,2724,0,0,OBSERVED_FACT
6,172,S. DILLIER,103,ALPECIN-PREMIER TECH,19051,2724,0,0,OBSERVED_FACT
6,173,T. MARSMAN,104,ALPECIN-PREMIER TECH,19051,2724,0,0,OBSERVED_FACT
6,174,P. ALLEGAERT,162,COFIDIS,19051,2724,0,0,OBSERVED_FACT
6,175,J. PHILIPSEN,105,ALPECIN-PREMIER TECH,19051,2724,0,0,OBSERVED_FACT
6,176,T. MERLIER,91,SOUDAL QUICK-STEP,19051,2724,0,0,OBSERVED_FACT
6,177,L. ASKEY,132,NSN CYCLING TEAM,19051,2724,0,0,OBSERVED_FACT
7,1,T. MERLIER,91,SOUDAL QUICK-STEP,13460,0,10,0,OBSERVED_FACT
7,2,S. WAERENSKJOLD,128,UNO-X MOBILITY,13460,0,6,0,OBSERVED_FACT
7,3,B. GIRMAY,131,NSN CYCLING TEAM,13460,0,4,0,OBSERVED_FACT
7,4,M. KANTER,64,XDS ASTANA TEAM,13460,0,0,0,OBSERVED_FACT
7,5,J. PHILIPSEN,105,ALPECIN-PREMIER TECH,13460,0,0,0,OBSERVED_FACT
7,6,P. BAUHAUS,72,BAHRAIN VICTORIOUS,13460,0,0,0,OBSERVED_FACT
7,7,H. ARTZ,152,LOTTO INTERMARCHE,13460,0,0,0,OBSERVED_FACT
7,8,D. GODON,85,NETCOMPANY INEOS CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,9,M. PEDERSEN,33,LIDL-TREK,13460,0,0,0,OBSERVED_FACT
7,10,T. VAN ASBROECK,138,NSN CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,11,P. BITTNER,213,TEAM PICNIC POSTNL,13460,0,0,0,OBSERVED_FACT
7,12,P. ACKERMANN,112,TEAM JAYCO ALULA,13460,0,0,0,OBSERVED_FACT
7,13,M. FRETIN,165,COFIDIS,13460,0,0,0,OBSERVED_FACT
7,14,F. GAVIRIA,221,CAJA RURAL-SEGUROS RGA,13460,0,0,0,OBSERVED_FACT
7,15,A. TURGIS,207,TOTALENERGIES,13460,0,0,0,OBSERVED_FACT
7,16,C. RUSSO,188,GROUPAMA-FDJ UNITED,13460,0,0,0,OBSERVED_FACT
7,17,J. BERCKMOES,153,LOTTO INTERMARCHE,13460,0,0,0,OBSERVED_FACT
7,18,R. PLUIMERS,195,TUDOR PRO CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,19,F. WRIGHT,178,PINARELLO-Q36.5 PRO CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,20,A. GATE,63,XDS ASTANA TEAM,13460,0,0,0,OBSERVED_FACT
7,21,J. ABRAHAMSEN,122,UNO-X MOBILITY,13460,0,0,0,OBSERVED_FACT
7,22,M. TEUNISSEN,66,XDS ASTANA TEAM,13460,0,0,0,OBSERVED_FACT
7,23,O. KOOIJ,55,DECATHLON CMA CGM TEAM,13460,0,0,0,OBSERVED_FACT
7,24,R. STANNARD,76,BAHRAIN VICTORIOUS,13460,0,0,0,OBSERVED_FACT
7,25,M. VAN DER POEL,101,ALPECIN-PREMIER TECH,13460,0,0,0,OBSERVED_FACT
7,26,T. PIDCOCK,171,PINARELLO-Q36.5 PRO CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,27,H. TEJADA,65,XDS ASTANA TEAM,13460,0,0,0,OBSERVED_FACT
7,28,N. VINOKUROV,68,XDS ASTANA TEAM,13460,0,0,0,OBSERVED_FACT
7,29,B. VAN MOER,177,PINARELLO-Q36.5 PRO CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,30,A. CHARMIG,123,UNO-X MOBILITY,13460,0,0,0,OBSERVED_FACT
7,31,J. BIERMANS,164,COFIDIS,13460,0,0,0,OBSERVED_FACT
7,32,T. SKUJINS,36,LIDL-TREK,13460,0,0,0,OBSERVED_FACT
7,33,J. VAN DEN BERG,217,TEAM PICNIC POSTNL,13460,0,0,0,OBSERVED_FACT
7,34,T. BENOOT,52,DECATHLON CMA CGM TEAM,13460,0,0,0,OBSERVED_FACT
7,35,M. VACEK,37,LIDL-TREK,13460,0,0,0,OBSERVED_FACT
7,36,K. ASGREEN,42,EF EDUCATION - EASYPOST,13460,0,0,0,OBSERVED_FACT
7,37,N. PRODHOMME,57,DECATHLON CMA CGM TEAM,13460,0,0,0,OBSERVED_FACT
7,38,N. OLIVEIRA,146,MOVISTAR TEAM,13460,0,0,0,OBSERVED_FACT
7,39,M. MOHORIC,75,BAHRAIN VICTORIOUS,13460,0,0,0,OBSERVED_FACT
7,40,J. STUYVEN,94,SOUDAL QUICK-STEP,13460,0,0,0,OBSERVED_FACT
7,41,P. SEIXAS,51,DECATHLON CMA CGM TEAM,13460,0,0,0,OBSERVED_FACT
7,42,M. VAN GILS,28,RED BULL - BORA - HANSGROHE,13460,0,0,0,OBSERVED_FACT
7,43,A. SKAARSETH,126,UNO-X MOBILITY,13460,0,0,0,OBSERVED_FACT
7,44,T. VAN DIJKE,27,RED BULL - BORA - HANSGROHE,13460,0,0,0,OBSERVED_FACT
7,45,Y. VOISARD,198,TUDOR PRO CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,46,D. BALLERINI,62,XDS ASTANA TEAM,13460,0,0,0,OBSERVED_FACT
7,47,A. TIBERI,77,BAHRAIN VICTORIOUS,13460,0,0,0,OBSERVED_FACT
7,48,F. LIPOWITZ,25,RED BULL - BORA - HANSGROHE,13460,0,0,0,OBSERVED_FACT
7,49,N. POLITT,5,UAE TEAM EMIRATES XRG,13460,0,0,0,OBSERVED_FACT
7,50,B. MCNULTY,4,UAE TEAM EMIRATES XRG,13460,0,0,0,OBSERVED_FACT
7,51,A. YATES,8,UAE TEAM EMIRATES XRG,13460,0,0,0,OBSERVED_FACT
7,52,R. EVENEPOEL,21,RED BULL - BORA - HANSGROHE,13460,0,0,0,OBSERVED_FACT
7,53,G. ZIMMERMANN,158,LOTTO INTERMARCHE,13460,0,0,0,OBSERVED_FACT
7,54,L. CRAPS,154,LOTTO INTERMARCHE,13460,0,0,0,OBSERVED_FACT
7,55,J. DELBOVE,203,TOTALENERGIES,13460,0,0,0,OBSERVED_FACT
7,56,T. POGACAR,1,UAE TEAM EMIRATES XRG,13460,0,0,0,OBSERVED_FACT
7,57,I. DEL TORO,2,UAE TEAM EMIRATES XRG,13460,0,0,0,OBSERVED_FACT
7,58,E. AFFINI,12,TEAM VISMA | LEASE A BIKE,13460,0,0,0,OBSERVED_FACT
7,59,J. VINGEGAARD,11,TEAM VISMA | LEASE A BIKE,13460,0,0,0,OBSERVED_FACT
7,60,J. JEGAT,201,TOTALENERGIES,13460,0,0,0,OBSERVED_FACT
7,61,P. HAGENES,15,TEAM VISMA | LEASE A BIKE,13460,0,0,0,OBSERVED_FACT
7,62,J. AYUSO,31,LIDL-TREK,13460,0,0,0,OBSERVED_FACT
7,63,M. SKJELMOSE,35,LIDL-TREK,13460,0,0,0,OBSERVED_FACT
7,64,F. VERMEERSCH,6,UAE TEAM EMIRATES XRG,13460,0,0,0,OBSERVED_FACT
7,65,X. MEURISSE,176,PINARELLO-Q36.5 PRO CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,66,E. BERNAL,81,NETCOMPANY INEOS CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,67,I. VAN WILDER,97,SOUDAL QUICK-STEP,13460,0,0,0,OBSERVED_FACT
7,68,K. VAUQUELIN,88,NETCOMPANY INEOS CYCLING TEAM,13460,0,0,0,OBSERVED_FACT
7,69,P. CASTRILLO,142,MOVISTAR TEAM,13460,0,0,0,OBSERVED_FACT
7,70,G. MARTIN GUYONNET,186,GROUPAMA-FDJ UNITED,13460,0,0,0,OBSERVED_FACT
