stage_number,rank,rider,bib,team,finish_time_s,gap_s,bonus_s,penalty_s,status
1,62,N. OLIVEIRA,146,MOVISTAR TEAM,1463,156,0,0,OBSERVED_FACT
1,63,M. VERCHER,208,TOTALENERGIES,1464,157,0,0,OBSERVED_FACT
1,64,N. BREUILLARD,202,TOTALENERGIES,1464,157,0,0,OBSERVED_FACT
1,65,A. KIRSCH,166,COFIDIS,1465,158,0,0,OBSERVED_FACT
1,66,R. DEBRUYNE,102,ALPECIN-PREMIER TECH,1467,160,0,0,OBSERVED_FACT
1,67,Q. HERMANS,174,PINARELLO-Q36.5 PRO CYCLING TEAM,1470,163,0,0,OBSERVED_FACT
1,68,H. TEJADA,65,XDS ASTANA TEAM,1473,166,0,0,OBSERVED_FACT
1,69,J. STUYVEN,94,SOUDAL QUICK-STEP,1473,166,0,0,OBSERVED_FACT
1,70,V. PARET PEINTRE,93,SOUDAL QUICK-STEP,1473,166,0,0,OBSERVED_FACT
1,71,J. ROMO,147,MOVISTAR TEAM,1473,166,0,0,OBSERVED_FACT
1,72,F. GROSSSCHARTNER,3,UAE TEAM EMIRATES XRG,1481,174,0,0,OBSERVED_FACT
1,73,M. KWIATKOWSKI,86,NETCOMPANY INEOS CYCLING TEAM,1487,180,0,0,OBSERVED_FACT
1,74,T. WELLENS,7,UAE TEAM EMIRATES XRG,1489,182,0,0,OBSERVED_FACT
1,75,F. BIESTERBOS,212,TEAM PICNIC POSTNL,1492,185,0,0,OBSERVED_FACT
1,76,P. BITTNER,213,TEAM PICNIC POSTNL,1492,185,0,0,OBSERVED_FACT
1,77,W. BARGUIL,211,TEAM PICNIC POSTNL,1492,185,0,0,OBSERVED_FACT
1,78,J. DEGENKOLB,214,TEAM PICNIC POSTNL,1492,185,0,0,OBSERVED_FACT
1,79,J. VAN DEN BERG,217,TEAM PICNIC POSTNL,1492,185,0,0,OBSERVED_FACT
1,80,E. BERNAL,81,NETCOMPANY INEOS CYCLING TEAM,1493,186,0,0,OBSERVED_FACT
1,81,B. GIRMAY,131,NSN CYCLING TEAM,1497,190,0,0,OBSERVED_FACT
1,82,T. MARSMAN,104,ALPECIN-PREMIER TECH,1497,190,0,0,OBSERVED_FACT
1,83,M. KANTER,64,XDS ASTANA TEAM,1497,190,0,0,OBSERVED_FACT
1,84,B. HEALY,44,EF EDUCATION - EASYPOST,1498,191,0,0,OBSERVED_FACT
1,85,K. ASGREEN,42,EF EDUCATION - EASYPOST,1498,191,0,0,OBSERVED_FACT
