rider,bib,team,outcome,published_code,exit_stage_number,last_classified_stage
S. DILLIER,103,ALPECIN-PREMIER TECH,IN_RACE,,,20
T. MARSMAN,104,ALPECIN-PREMIER TECH,IN_RACE,,,20
J. PHILIPSEN,105,ALPECIN-PREMIER TECH,IN_RACE,,,20
E. PLANCKAERT,106,ALPECIN-PREMIER TECH,IN_RACE,,,20
J. RICKAERT,107,ALPECIN-PREMIER TECH,IN_RACE,,,20
E. VERSTRYNGE,108,ALPECIN-PREMIER TECH,IN_RACE,,,20
B. O'CONNOR,111,TEAM JAYCO ALULA,IN_RACE,,,20
P. ACKERMANN,112,TEAM JAYCO ALULA,DNF,DNF-20,20,19
L. DURBRIDGE,113,TEAM JAYCO ALULA,IN_RACE,,,20
F. ENGELHARDT,114,TEAM JAYCO ALULA,IN_RACE,,,20
M. MATTHEWS,115,TEAM JAYCO ALULA,IN_RACE,,,20
K. O’BRIEN,116,TEAM JAYCO ALULA,OTL,OTL-4,4,3
L. PLAPP,117,TEAM JAYCO ALULA,IN_RACE,,,20
M. SCHMID,118,TEAM JAYCO ALULA,IN_RACE,,,20
T. JOHANNESSEN,121,UNO-X MOBILITY,IN_RACE,,,20
J. ABRAHAMSEN,122,UNO-X MOBILITY,IN_RACE,,,20
A. CHARMIG,123,UNO-X MOBILITY,OTL,OTL-14,14,13
M. CORT NIELSEN,124,UNO-X MOBILITY,IN_RACE,,,20
A. JOHANNESSEN,125,UNO-X MOBILITY,IN_RACE,,,20
A. SKAARSETH,126,UNO-X MOBILITY,IN_RACE,,,20
T. TRÆEN,127,UNO-X MOBILITY,DNS,DNS-7,7,6
S. WAERENSKJOLD,128,UNO-X MOBILITY,IN_RACE,,,20
B. GIRMAY,131,NSN CYCLING TEAM,IN_RACE,,,20
L. ASKEY,132,NSN CYCLING TEAM,IN_RACE,,,20
G. BENNETT,133,NSN CYCLING TEAM,IN_RACE,,,20
M. FRIGO,134,NSN CYCLING TEAM,IN_RACE,,,20
M. LOUVEL,135,NSN CYCLING TEAM,IN_RACE,,,20
K. NEILANDS,136,NSN CYCLING TEAM,IN_RACE,,,20
J. STEWART,137,NSN CYCLING TEAM,IN_RACE,,,20
T. VAN ASBROECK,138,NSN CYCLING TEAM,DNF,DNF-15,15,14
C. UIJTDEBROEKS,141,MOVISTAR TEAM,DNF,DNF-6,6,5
P. CASTRILLO,142,MOVISTAR TEAM,IN_RACE,,,20
J. CEPEDA,143,MOVISTAR TEAM,IN_RACE,,,20
R. GARCIA,144,MOVISTAR TEAM,IN_RACE,,,20
M. HEßMANN,145,MOVISTAR TEAM,IN_RACE,,,20
N. OLIVEIRA,146,MOVISTAR TEAM,IN_RACE,,,20
J. ROMO,147,MOVISTAR TEAM,IN_RACE,,,20
E. RUBIO,148,MOVISTAR TEAM,DNF,DNF-19,19,18
A. DE LIE,151,LOTTO INTERMARCHE,DNF,DNF-3,3,2
H. ARTZ,152,LOTTO INTERMARCHE,IN_RACE,,,20
J. BERCKMOES,153,LOTTO INTERMARCHE,DNS,DNS-13,13,12
L. CRAPS,154,LOTTO INTERMARCHE,DNS,DNS-16,16,15
L. SLOCK,155,LOTTO INTERMARCHE,IN_RACE,,,20
L. VAN EETVELT,156,LOTTO INTERMARCHE,IN_RACE,,,20
B. VEISTROFFER,157,LOTTO INTERMARCHE,IN_RACE,,,20
G. ZIMMERMANN,158,LOTTO INTERMARCHE,IN_RACE,,,20
I. IZAGIRRE,161,COFIDIS,IN_RACE,,,20
P. ALLEGAERT,162,COFIDIS,IN_RACE,,,20
A. ARANBURU,163,COFIDIS,IN_RACE,,,20
J. BIERMANS,164,COFIDIS,IN_RACE,,,20
M. FRETIN,165,COFIDIS,IN_RACE,,,20
A. KIRSCH,166,COFIDIS,IN_RACE,,,20
H. PAGE,167,COFIDIS,IN_RACE,,,20
B. THOMAS,168,COFIDIS,IN_RACE,,,20
