stage_number,kind,category,label,km_from_start,lon,lat,altitude_m,climb_length_km,avg_gradient_pct,final_straight_m,road_width_m,offset_source,status,description
4,SUMMIT,2,Catégorie 2,146.733,1.8244490250000922,42.87405320900007,1059,6.90,6.60,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D9, à hauteur du panneau de sommet de col sur la droite de la chaussée. Col de 2ème catégorie. Altitude : 1059 m. Distance : 6,9 km. Pente : 6,6 %."
4,FINISH,,Arrivée,181.900,1.6074094230000924,42.963957579000066,,,,300,,aso-arcgis,NORMALIZED_FACT,"Arrivée : cours Gabriel Fauré, à l'extrémité d'une ligne droite finale de 300 m."
5,START_CEREMONIAL,,Départ fictif,,0.38440999900007,43.125500000000045,,,,,,,NORMALIZED_FACT,Départ fictif
5,START_REAL,,Départ réel,0.000,0.4175900000000752,43.12963000000008,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D929, à hauteur du carrefour avec la D129 à droite."
5,SPRINT,,Sprint,113.664,0.05298000000004777,43.39507000000003,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la D835, avenue Jacques Fourcade, à hauteur de la rue des Vergers à gauche (moyens techniques du côté gauche)."
5,SUMMIT,3,Catégorie 3,132.800,-0.14139999999991915,43.377410000000054,348,1.00,8.80,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D7, à hauteur du chemin à droite, du panneau vert ""Route de Pau"" et de l'entrée de l'entreprise Acti Agri (n°30) à droite. Côte de 3ème catégorie. Altitude : 348 m. Distance : 1 km. Pente : 8,8 %."
5,FINISH,,Arrivée,158.300,-0.37686999999993986,43.29863000000006,,,,560,6.50,aso-arcgis,NORMALIZED_FACT,"Arrivée : rue du Maquis Le Béarn, à l'extrémité d'une ligne droite finale de 560 m. Largeur chaussée : 6,50 m,"
6,START_CEREMONIAL,,Départ fictif,,-0.3679695049999623,43.292003168000065,,,,,,,NORMALIZED_FACT,Départ fictif
6,START_REAL,,Départ réel,0.000,-0.35505999999992355,43.28373000000005,,,,,,aso-arcgis,NORMALIZED_FACT,Départ réel
6,SUMMIT,4,Catégorie 4,51.020,0.06826333300006127,43.11668333300008,528,2.00,7.10,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D937, à hauteur du panneau d'entrée de Loucrup. Côte de 4ème catégorie. Altitude : 528 m. Distance : 2 km. Pente : 7,1 %."
