stage_number,kind,category,label,km_from_start,lon,lat,altitude_m,climb_length_km,avg_gradient_pct,final_straight_m,road_width_m,offset_source,status,description
15,SUMMIT,3,Catégorie 3,146.134,6.212535000000059,46.10950000100007,823,2.10,8.30,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la route d'Arbusigny, à hauteur de la 2e entrée de la maison n°347 à gauche. Côte de 3ème catégorie. Altitude : 823 m. Distance : 2,1 km. Pente : 8,3 %."
15,FINISH,HC,Arrivée/Catégorie HC,183.900,6.427201068000045,46.03282503100007,,,,150,5.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : D186 A, route de Solaison, à l'extrémité d'une ligne droite finale de 150 m à vue et à l'issue d'une montée de 11,3 km à 9,1%. Largeur chaussée : 5 m,"
16,START_REAL,,Départ réel,0.000,6.594864833000088,46.400489288000074,,,,,,aso-arcgis,NORMALIZED_FACT,Départ réel : place de la Libération.
16,TIME_CHECK,,Chrono,4.776,6.582120001000078,46.38632800000005,,,,,,aso-arcgis,NORMALIZED_FACT,"Point chrono : sur la D21, à hauteur du parking sur la droite de la chaussée."
16,TIME_CHECK,2,Chrono/Catégorie 2,9.646,6.57158000000004,46.36854000000005,,,,,,aso-arcgis,NORMALIZED_FACT,"Point chrono : sur la D32, route du Montet, à hauteur de la route de la Contamine à gauche (menant au lieu-dit Chez Desbois)."
16,TIME_CHECK,,Chrono,17.997,6.504145378000089,46.36678169700008,,,,,,aso-arcgis,NORMALIZED_FACT,"Point chrono : sur la D902, à hauteur du parking à droite, 20 m avant le début de la glissière métallique à droite."
16,FINISH,,Arrivée,26.100,6.487650245000054,46.38692537900005,,,,200,5.50,aso-arcgis,NORMALIZED_FACT,"Arrivée : avenue de Ripaille, à l'extrémité d'une ligne droite finale de 200 m à vue. Largeur chaussée : 5,50 m,"
17,START_CEREMONIAL,,Départ fictif,,5.921030000000087,45.568320000000085,,,,,,,NORMALIZED_FACT,Départ fictif : place du Centenaire.
17,START_REAL,,Départ réel,0.000,5.912720000000093,45.63533000000007,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D991, à hauteur du vieux chemin sur la droite de la chaussée, 300 m après le passage sous l'autoroute A41."
17,SUMMIT,4,Catégorie 4,19.381,5.986926667000091,45.747263333000035,481,1.60,5.50,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D901, à hauteur du feu tricolore sur la droite de la chaussée. Côte de 4ème catégorie. Altitude : 481 m. Distance : 1,6 km. Pente : 5,5 %."
17,SUMMIT,4,Catégorie 4,35.733,6.106217369000092,45.70180684200005,686,1.70,1.60,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D59, à hauteur du panneau d'entrée du lieu-dit Rossillon à droite. Côte de 4ème catégorie. Altitude : 686 m. Distance : 1,7 km. Pente : 1,6 %."
17,SUMMIT,3,Catégorie 3,49.749,6.060037394000062,45.59595133800008,1142,3.60,6.80,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D206, à hauteur du panneau ""Col des Près Alt 1142 m"" sur la droite de la chaussée. Côte de 3ème catégorie. Altitude : 1142 m. Distance : 3,6 km. Pente : 6,8 %."
17,SUMMIT,4,Catégorie 4,59.654,6.014240635000078,45.589304811000034,611,1.20,5.70,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D206, à hauteur de la borne kilométrique sur la gauche de la chaussée précédant l'entrée de Saint-Jean-d'Arvey. Côte de 4ème catégorie. Altitude : 611 m. Distance : 1,2 km. Pente : 5,7 %."
17,SPRINT,,Sprint,147.561,5.435060000000078,45.39741000100008,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la D73 A, route du Tram, entre le carrefour avec le chemin de la Grande Colombe à droite et le premier lampadaire à droite suivant ce chemin (moyens techniques du côté droit) / laisser une ouverture possible en tous temps pour le passage des véhicules d'incendie et de secours."
17,FINISH,,Arrivée,174.700,5.591107717000057,45.36656836600008,,,,350,6.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : cours Senozan, à l'extrémité d'une ligne droite finale de 350 m. Largeur chaussée : 6 m,"
18,START_CEREMONIAL,,Départ fictif,,5.589714985000057,45.367586896000034,,,,,,,NORMALIZED_FACT,Départ fictif : avenue Raymond Tézier.
18,START_REAL,,Départ réel,0.000,5.515960001000053,45.31615000000005,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D1092, à hauteur du panneau ""Contrôles radars fréquents"" sur la droite de la chaussée et du carrefour avec la route des Etangs à gauche."
18,SUMMIT,1,Catégorie 1,36.869,5.619250000000079,45.178799999000034,854,11.50,5.40,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D531, à hauteur du panneau annonçant ""3 traversées piétonnes"" sur la droite de la chaussée. Col de 1ère catégorie. Altitude : 854 m. Distance : 11,5 km. Pente : 5,4 %."
18,SUMMIT,2,Catégorie 2,92.332,5.70070000000004,44.966060000000084,844,9.70,5.00,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D529, rue de la Ville, à hauteur du n°883 sur la gauche de la chaussée. Côte de 2ème catégorie. Altitude : 844 m. Distance : 9,7 km. Pente : 5 %."
18,SPRINT,,Sprint,98.733,5.752570000000048,44.95459000000005,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la D529, route de la Festinière, à hauteur de l'accès au parking à gauche et du n°32 à droite (moyens techniques du côté gauche, sur le petit parking)."
18,SUMMIT,3,Catégorie 3,112.899,5.825447343000064,44.882277971000065,836,3.40,6.60,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D1085, à hauteur du panneau annonçant le parking/aire de repos à droite. Côte de 3ème catégorie. Altitude : 836 m. Distance : 3,4 km. Pente : 6,6 %."
18,SUMMIT,3,Catégorie 3,166.224,6.196113787000058,44.64410608900005,1237,2.50,6.90,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D113, à hauteur des parkings sur la droite de la chaussée. Côte de 3ème catégorie. Altitude : 1237 m. Distance : 2,5 km. Pente : 6,9 %."
18,FINISH,1,Arrivée/Catégorie 1,185.200,6.322093509000069,44.696674844000086,,,,200,5.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : rue des Écrins, à l'extrémité d'une ligne droite finale de 200 m à vue et à l'issue d'une montée de 7,1 km à 6,7%. Largeur chaussée : 5 m,"
19,START_CEREMONIAL,,Départ fictif,,6.060340000000053,44.54231000000004,,,,,,,NORMALIZED_FACT,Départ fictif
19,START_REAL,,Départ réel,0.000,6.082090000000051,44.579990000000066,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la N85, à hauteur du chemin de Peyre Ossel sur la droite de la chaussée."
19,SUMMIT,2,Catégorie 2,4.864,6.080626666000057,44.61057000100004,1246,4.80,7.20,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col. Col de 2ème catégorie. Altitude : 1246 m. Distance : 4,8 km. Pente : 7,2 %."
19,SUMMIT,1,Catégorie 1,25.247,5.984610000000089,44.692360000000065,1664,7.20,8.50,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D17, à hauteur des deux poteaux en bois de chaque côtés de la chaussée inscrits col du noyer. Col de 1ère catégorie. Altitude : 1664 m. Distance : 7,2 km. Pente : 8,5 %."
19,SPRINT,,Sprint,89.368,5.973513500000081,44.93597311100007,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la commune de CHANTEPÉRIER, D526, à hauteur du panneau parking sur la droite de la chaussée avant l'entrée du restaurant."
19,SUMMIT,2,Catégorie 2,99.184,5.967430911000065,45.00825455700004,1371,5.40,6.40,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col. Col de 2ème catégorie. Altitude : 1371 m. Distance : 5,4 km. Pente : 6,4 %."
19,FINISH,3,ArrivéeMixte,127.900,6.071199340000078,45.094078987000046,1850,3.70,6.20,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col. Côte de 3ème catégorie. Altitude : 1850 m. Distance : 3,7 km. Pente : 6,2 %."
20,START_CEREMONIAL,,Départ fictif,,6.029599999000084,45.05626999900005,,,,,,,NORMALIZED_FACT,"Départ fictif : sur l'avenue de la République, à hauteur de l'avenue des Maquis de l'Oisans."
20,START_REAL,,Départ réel,0.000,6.008940000000052,45.10098000000005,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D1091, à hauteur du chemin de Vestre sur la droite de la chaussée."
20,SUMMIT,HC,Catégorie HC,33.959,6.203559834000089,45.227460000000065,2067,24.00,5.20,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D926, à hauteur du panneau de sommet du col de la Croix de fer sur la droite de la chaussée. Col hors catégorie. Altitude : 2067 m. Distance : 24 km. Pente : 5,2 %."
20,SPRINT,,Sprint,66.656,6.387238941000078,45.25877869100009,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la commune de SAINT-JULIEN-MONT-DENIS, D1006, à hauteur du renfoncement sur la droite de la chaussée."
20,SUMMIT,1,Catégorie 1,87.716,6.444560000000081,45.202690000000075,1566,11.90,7.10,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D902, à hauteur du panneau de sommet de col du Télégraphe sur la droite de la chaussée. Col de 1ère catégorie. Altitude : 1566 m. Distance : 11,9 km. Pente : 7,1 %."
20,SUMMIT,HC,Catégorie HC,110.648,6.407920000000047,45.06415000000004,2642,17.70,6.90,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D902, à hauteur du panneau de sommet de col sur la gauche de la chaussée. Col hors catégorie. Altitude : 2642 m. Distance : 17,7 km. Pente : 6,9 %."
20,SUMMIT,HC,Catégorie HC,156.606,6.149046792000092,45.08747032900004,1999,12.80,7.30,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col. Col hors catégorie. Altitude : 1999 m. Distance : 12,8 km. Pente : 7,3 %."
20,FINISH,3,ArrivéeMixte,170.900,6.071199340000078,45.094078987000046,1850,3.70,6.20,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col. Côte de 3ème catégorie. Altitude : 1850 m. Distance : 3,7 km. Pente : 6,2 %."
21,FINISH,,Arrivée,,2.3115300000000616,48.868520000000046,,,,700,8.00,,NORMALIZED_FACT,"Arrivée : avenue des Champs-Élysées, à l’extrémité d’une ligne droite finale de 700 m et à l’issue du 3e passage côte de la Butte Montmartre. Largeur chaussée : 8 m,"
21,SPRINT,,Sprint,,2.303480000000093,48.87107000000009,,,,,,,NORMALIZED_FACT,"Sprint : sur la commune de PARIS, AVENUE DES CHAMPS-ÉLYSÉES, à hauteur de l'intersection avec la rue Lincoln."
21,START_CEREMONIAL,,Départ fictif,,1.797420000000045,48.86442000000005,,,,,,,CONFLICTING,"Départ fictif : sur la rue du pavillon de Montreuil, de manière centrée à l'allée du Château sur la gauche de la chaussée."
21,START_REAL,,Départ réel,,1.7700100000000702,48.85101000000009,,,,,,,CONFLICTING,"Départ réel : sur la  VC, à hauteur du chemin sur la droite et de la tourelle sur la gauche de la chaussée."
21,SUMMIT,4,Catégorie 4,,2.2049354180000478,48.80898470200003,180,0.70,9.70,,,,CONFLICTING,"Sommet de col : sur la D181, route du Pavé des Gardes, à hauteur de la fin de la glissière béton (course sur les voies de droite) et du début du long terre-plein enherbé précédant le rond-point. Côte de 4ème catégorie. Altitude : 180 m. Distance : 0,7 km. Pente : 9,7 %."
21,SUMMIT,4,Catégorie 4,,2.341220000000078,48.886610000000076,128,1.00,6.50,,,,NORMALIZED_FACT,"Sommet de côte : sur la rue Norvins, au niveau de l'intersection avec la rue du Mont-Cenis. Côte de 4ème catégorie. Altitude : 128 m. Distance : 1 km. Pente : 6,5 %."
