stage_number,km_from_start,lon,lat,dem_count,elevation_min_m,elevation_max_m,elevation_mean_m,spread_m,sources
1,10.0000,2.1771184438904156,41.404045119184694,1,36.00,36.00,36.00,0.00,COPERNICUS_GLO90
1,10.2000,2.175395566542824,41.40348404839478,1,33.00,33.00,33.00,0.00,COPERNICUS_GLO90
1,10.4000,2.173701577808487,41.40221205658799,1,36.00,36.00,36.00,0.00,COPERNICUS_GLO90
1,10.6000,2.171994633340434,41.400948840038545,1,41.00,41.00,41.00,0.00,COPERNICUS_GLO90
1,10.8000,2.1703074607202413,41.39967088052381,1,44.00,44.00,44.00,0.00,COPERNICUS_GLO90
1,11.0000,2.168588869930012,41.398417095944005,1,46.00,46.00,46.00,0.00,COPERNICUS_GLO90
1,11.2000,2.166909626214987,41.397133343489365,1,50.00,50.00,50.00,0.00,COPERNICUS_GLO90
1,11.4000,2.165233475122255,41.395847464699884,1,49.00,49.00,49.00,0.00,COPERNICUS_GLO90
1,11.6000,2.1635383496790523,41.394575506795555,1,52.00,52.00,52.00,0.00,COPERNICUS_GLO90
1,11.8000,2.1635126099004918,41.393286070438876,1,42.00,42.00,42.00,0.00,COPERNICUS_GLO90
1,12.0000,2.164651626478288,41.391986219858715,1,41.00,41.00,41.00,0.00,COPERNICUS_GLO90
1,12.2000,2.1629523975075013,41.3907173860283,1,42.00,42.00,42.00,0.00,COPERNICUS_GLO90
1,12.4000,2.16126385655995,41.38944072765931,1,43.00,43.00,43.00,0.00,COPERNICUS_GLO90
1,12.6000,2.1595753221380507,41.388164028223756,1,43.00,43.00,43.00,0.00,COPERNICUS_GLO90
1,12.8000,2.1578763954046547,41.38689534887974,1,40.00,40.00,40.00,0.00,COPERNICUS_GLO90
1,13.0000,2.156154964465212,41.38564374348427,1,30.00,30.00,30.00,0.00,COPERNICUS_GLO90
1,13.2000,2.1544641166402125,41.384368839738286,1,32.00,32.00,32.00,0.00,COPERNICUS_GLO90
1,13.4000,2.152789010692333,41.38308219176743,1,42.00,42.00,42.00,0.00,COPERNICUS_GLO90
1,13.6000,2.151102294039744,41.38180417092228,1,41.00,41.00,41.00,0.00,COPERNICUS_GLO90
1,13.8000,2.149408409200951,41.380531496986606,1,40.00,40.00,40.00,0.00,COPERNICUS_GLO90
1,14.0000,2.147726173942205,41.37925016411748,1,39.00,39.00,39.00,0.00,COPERNICUS_GLO90
1,14.2000,2.1459521865720146,41.378060546643,1,34.00,34.00,34.00,0.00,COPERNICUS_GLO90
1,14.4000,2.1476464474539907,41.37679182686054,1,29.00,29.00,29.00,0.00,COPERNICUS_GLO90
1,14.6000,2.148761853998906,41.375374363332725,1,29.00,29.00,29.00,0.00,COPERNICUS_GLO90
1,14.8000,2.149637603200234,41.37427639146605,1,26.00,26.00,26.00,0.00,COPERNICUS_GLO90
1,15.0000,2.150713791370001,41.37266945501989,1,32.00,32.00,32.00,0.00,COPERNICUS_GLO90
1,15.2000,2.1521959425781314,41.3719592818784,1,40.00,40.00,40.00,0.00,COPERNICUS_GLO90
1,15.4000,2.154329427520177,41.372778736454805,1,37.00,37.00,37.00,0.00,COPERNICUS_GLO90
1,15.6000,2.1556872105447424,41.372006902798574,1,39.00,39.00,39.00,0.00,COPERNICUS_GLO90
1,15.8000,2.1566863167672707,41.370375524849095,1,42.00,42.00,42.00,0.00,COPERNICUS_GLO90
1,16.0000,2.158358137477201,41.369692549908805,1,51.00,51.00,51.00,0.00,COPERNICUS_GLO90
1,16.2000,2.157366552346298,41.36849896510247,1,63.00,63.00,63.00,0.00,COPERNICUS_GLO90
1,16.4000,2.156029544212342,41.36871530921592,1,69.00,69.00,69.00,0.00,COPERNICUS_GLO90
1,16.6000,2.157551534208902,41.36738568262805,1,86.00,86.00,86.00,0.00,COPERNICUS_GLO90
1,16.8000,2.158469919708338,41.36709495985417,1,90.00,90.00,90.00,0.00,COPERNICUS_GLO90
1,17.0000,2.156342400182231,41.366285938503594,1,93.00,93.00,93.00,0.00,COPERNICUS_GLO90
1,17.2000,2.153975446356319,41.36612830357625,1,82.00,82.00,82.00,0.00,COPERNICUS_GLO90
1,17.4000,2.151648961149156,41.36652761036022,1,86.00,86.00,86.00,0.00,COPERNICUS_GLO90
1,17.6000,2.149299603170874,41.36646653439029,1,83.00,83.00,83.00,0.00,COPERNICUS_GLO90
1,17.8000,2.1472507871714206,41.36555753414135,1,65.00,65.00,65.00,0.00,COPERNICUS_GLO90
1,18.0000,2.1461080572710505,41.36447568500922,1,65.00,65.00,65.00,0.00,COPERNICUS_GLO90
1,18.2000,2.1466554121892885,41.3628907592039,1,62.00,62.00,62.00,0.00,COPERNICUS_GLO90
1,18.4000,2.1485038936249263,41.36177488510006,1,58.00,58.00,58.00,0.00,COPERNICUS_GLO90
1,18.6000,2.149548079417821,41.360177880873266,1,43.00,43.00,43.00,0.00,COPERNICUS_GLO90
1,18.8000,2.1516130905375324,41.36036363609824,1,62.00,62.00,62.00,0.00,COPERNICUS_GLO90
1,19.0000,2.1532471647602227,41.36165858238011,1,82.00,82.00,82.00,0.00,COPERNICUS_GLO90
1,19.2000,2.155448710958201,41.36235806491022,1,88.00,88.00,88.00,0.00,COPERNICUS_GLO90
1,19.4000,2.1571945799708114,41.36353576852556,1,100.00,100.00,100.00,0.00,COPERNICUS_GLO90
1,19.5131,2.1576301,41.3644925,1,105.00,105.00,105.00,0.00,COPERNICUS_GLO90
3,0.0000,2.2528827,41.6249963,1,186.00,186.00,186.00,0.00,COPERNICUS_GLO90
3,0.2000,2.250740319330649,41.62420008709018,1,164.00,164.00,164.00,0.00,COPERNICUS_GLO90
3,0.4000,2.248524911321866,41.62413852975241,1,155.00,155.00,155.00,0.00,COPERNICUS_GLO90
3,0.6000,2.2469676703495858,41.625509587412644,1,145.00,145.00,145.00,0.00,COPERNICUS_GLO90
3,0.8000,2.24505944735841,41.62634269924526,1,140.00,140.00,140.00,0.00,COPERNICUS_GLO90
3,1.0000,2.242737209888107,41.62608722294776,1,143.00,143.00,143.00,0.00,COPERNICUS_GLO90
3,1.2000,2.2403383284883738,41.62622757411649,1,147.00,147.00,147.00,0.00,COPERNICUS_GLO90
3,1.4000,2.237940219466031,41.62637514713122,1,151.00,151.00,151.00,0.00,COPERNICUS_GLO90
3,1.6000,2.235540775562871,41.62650959239025,1,158.00,158.00,158.00,0.00,COPERNICUS_GLO90
3,1.8000,2.2333694427017585,41.62681539010877,1,174.00,174.00,174.00,0.00,COPERNICUS_GLO90
3,2.0000,2.2321652211059546,41.628366564012715,1,180.00,180.00,180.00,0.00,COPERNICUS_GLO90
3,2.2000,2.2308802936958823,41.62987449856761,1,187.00,187.00,187.00,0.00,COPERNICUS_GLO90
3,2.4000,2.2291464070672316,41.63101679646638,1,188.00,188.00,188.00,0.00,COPERNICUS_GLO90
3,2.6000,2.2268701382477545,41.63157711323262,1,192.00,192.00,192.00,0.00,COPERNICUS_GLO90
3,2.8000,2.2245471848500884,41.632046673899985,1,204.00,204.00,204.00,0.00,COPERNICUS_GLO90
