stage_number,stage_date,start_location,finish_location,distance_km,stage_type,elevation_gain_m,neutralised_km,status
1,2026-05-30,Cesenatico,Ravenna,139.00,Flat stage,,,PUBLISHED
2,2026-05-31,Roncade H-Farm,Caorle,146.00,Flat stage,,,PUBLISHED
3,2026-06-01,Bibione,Buja,154.00,Hilly stage,,,PUBLISHED
4,2026-06-02,Belluno,Nevegal,12.70,Individual time trial,,,PUBLISHED
5,2026-06-03,Longarone,Santo Stefano di Cadore,138.00,Mountain stage,,,PUBLISHED
6,2026-06-04,Ala,Brescello,155.00,Flat stage,,,PUBLISHED
7,2026-06-05,Sorbolo Mezzani,Salice Terme,165.00,Hilly stage,,,PUBLISHED
8,2026-06-06,Rivoli,Sestriere Colle delle Finestre,101.00,Mountain stage,,,PUBLISHED
9,2026-06-07,Saluzzo,Saluzzo,143.00,Mountain stage,,,PUBLISHED
