stage_number,stage_date,start_location,finish_location,distance_km,stage_type,elevation_gain_m,neutralised_km,status
1,2026-02-16,Madinat Zayed Majlis,Liwa Palace,144.00,Flat stage,,,PUBLISHED
2,2026-02-17,Al Hudayriat Island,Al Hudayriat Island,12.20,Individual time trial,,,PUBLISHED
3,2026-02-18,Umm Al Quwain,Jebel Mobrah,182.00,Mountain stage,,,PUBLISHED
4,2026-02-19,Fujairah,Fujairah,182.00,Flat stage,,,PUBLISHED
5,2026-02-20,Dubai Al Mamzar Park,Hamdan Bin Mohammed Smart University,165.00,Flat stage,,,PUBLISHED
6,2026-02-21,Al Ain Museum,Jebel Hafeet,168.00,Mountain stage,,,PUBLISHED
7,2026-02-22,Zayed National Museum,Abu Dhabi Breakwater,149.00,Flat stage,,,PUBLISHED
