stage_number,stage_date,start_location,finish_location,distance_km,stage_type,elevation_gain_m,neutralised_km,status
1,2026-06-17,Sondrio (Italy),Sondrio (Italy),144.00,Hilly stage,,,PUBLISHED
2,2026-06-18,Locarno,Locarno,157.70,Hilly stage,,,PUBLISHED
3,2026-06-19,Bad Ragaz,Bad Ragaz,157.40,Hilly stage,,,PUBLISHED
4,2026-06-20,Aarburg,Aarburg,23.70,Individual time trial,,,PUBLISHED
5,2026-06-21,Villars-sur-Ollon,Villars-sur-Ollon,150.70,Mountain stage,,,PUBLISHED
