stage_number,source_id,length_km,official_km,length_delta_km,neutralised_km,assembled_parts,oriented,finish_residual_m,km0_residual_m,verdict
1,cyclingstage.com,150.309,150.100,0.209,,1,as-published,,,ACCEPTED_THIRD_PARTY
2,cyclingstage.com,138.520,138.600,-0.080,,1,as-published,,,ACCEPTED_THIRD_PARTY
3,cyclingstage.com,181.027,180.900,0.127,,1,as-published,,,ACCEPTED_THIRD_PARTY
4,cyclingstage.com,166.127,166.000,0.127,,1,as-published,,,ACCEPTED_THIRD_PARTY
5,cyclingstage.com,168.551,167.800,0.751,,1,as-published,,,ACCEPTED_THIRD_PARTY
