stage_number,stage_date,start_location,finish_location,distance_km,stage_type,elevation_gain_m,neutralised_km,status
1,2026-02-18,Benahavís,Pizarra,150.10,Hilly stage,,,PUBLISHED
2,2026-02-19,Torrox,Otura,138.60,Hilly stage,,,PUBLISHED
3,2026-02-20,Jaén,Lopera,180.90,Hilly stage,,,PUBLISHED
4,2026-02-21,Montoro,Pozoblanco,166.00,Hilly stage,,,PUBLISHED
5,2026-02-22,La Roda de Andalucía,Lucena,167.80,Hilly stage,,,PUBLISHED
