stage_number,stage_date,start_location,finish_location,distance_km,stage_type,elevation_gain_m,neutralised_km,status
1,2026-04-20,Innsbruck (Austria),Innsbruck (Austria),144.30,Hilly stage,,,PUBLISHED
2,2026-04-21,Telfs (Austria),Martell/Val Martello (Italy),147.50,Intermediate stage,,,PUBLISHED
3,2026-04-22,Latsch/Laces (Italy),Arco (Italy),174.50,Intermediate stage,,,PUBLISHED
4,2026-04-23,Arco (Italy),Trento (Italy),167.80,Mountain stage,,,PUBLISHED
5,2026-04-24,Trento (Italy),Bozen/Bolzano (Italy),128.60,Intermediate stage,,,PUBLISHED
